t	x
0	1
0.2	1.00114
0.4	1.00246
0.6	1.00398
0.8	1.0057
1	1.00764
1.2	1.00983
1.4	1.01228
1.6	1.01501
1.8	1.01804
2	1.02138
2.2	1.02505
2.4	1.02905
2.6	1.03339
2.8	1.03805
3	1.043
3.2	1.04821
3.4	1.05361
3.6	1.05913
3.8	1.06465
4	1.07005
4.2	1.07517
4.4	1.07983
4.6	1.08387
4.8	1.0871
5	1.08936
5.2	1.0905
5.4	1.09044
5.6	1.08913
5.8	1.08661
6	1.08294
6.2	1.0783
6.4	1.07286
6.6	1.06688
6.8	1.0606
7	1.05429
7.2	1.04819
7.4	1.04253
7.6	1.03749
7.8	1.03322
8	1.02982
8.2	1.02734
8.4	1.02579
8.6	1.02517
8.8	1.02541
9	1.02644
9.2	1.02817
9.4	1.03047
9.6	1.03325
9.8	1.03639
10	1.03977
10.2	1.04329
10.4	1.04685
10.6	1.05037
10.8	1.05379
11	1.05704
11.2	1.0601
11.4	1.06292
11.6	1.06549
11.8	1.06781
12	1.06987
12.2	1.07168
12.4	1.07326
12.6	1.07463
12.8	1.0758
13	1.07682
13.2	1.07771
13.4	1.07851
13.6	1.07928
13.8	1.08006
14	1.08092
14.2	1.08191
14.4	1.0831
14.6	1.08458
14.8	1.08641
15	1.08867
15.2	1.09142
15.4	1.09474
15.6	1.09869
15.8	1.1033
16	1.10862
16.2	1.11465
16.4	1.12138
16.6	1.12879
16.8	1.13682
17	1.14538
17.2	1.15437
17.4	1.16366
17.6	1.17309
17.8	1.18248
18	1.19165
18.2	1.20039
18.4	1.20851
18.6	1.21581
18.8	1.22214
19	1.22733
19.2	1.23128
19.4	1.23392
19.6	1.2352
19.8	1.23515
20	1.23383
20.2	1.23133
20.4	1.22778
20.6	1.22334
20.8	1.2182
21	1.21254
21.2	1.20655
21.4	1.20043
21.6	1.19433
21.8	1.18844
22	1.18286
22.2	1.17773
22.4	1.17312
22.6	1.16908
22.8	1.16564
23	1.16279
23.2	1.16052
23.4	1.15875
23.6	1.15741
23.8	1.15641
24	1.15563
24.2	1.15496
