t	x
0	1
0.2	1.00108
0.4	1.00256
0.6	1.00401
0.8	1.00565
1	1.00772
1.2	1.00975
1.4	1.0118
1.6	1.01407
1.8	1.017
2	1.02019
2.2	1.0237
2.4	1.02766
2.6	1.03185
2.8	1.03602
3	1.03977
3.2	1.04392
3.4	1.0484
3.6	1.05249
3.8	1.05658
4	1.06105
4.2	1.06501
4.4	1.06876
4.6	1.07281
4.8	1.07588
5	1.07864
5.2	1.08056
5.4	1.08215
5.6	1.08349
5.8	1.08519
6	1.086
6.2	1.08707
6.4	1.08812
6.6	1.08828
6.8	1.08735
7	1.08645
7.2	1.08412
7.4	1.08346
7.6	1.08205
7.8	1.08161
8	1.08116
8.2	1.08116
8.4	1.07916
8.6	1.07896
8.8	1.07837
9	1.07728
9.2	1.07694
9.4	1.07655
9.6	1.07751
9.8	1.07779
10	1.07833
10.2	1.07826
10.4	1.07815
10.6	1.07703
10.8	1.07702
11	1.07695
11.2	1.07709
11.4	1.0779
11.6	1.07744
11.8	1.0749
12	1.07275
12.2	1.07215
12.4	1.07008
12.6	1.06888
12.8	1.06959
13	1.06932
13.2	1.06816
13.4	1.06787
13.6	1.06684
13.8	1.06559
14	1.06423
14.2	1.06331
14.4	1.06102
14.6	1.06114
14.8	1.06179
15	1.06249
15.2	1.06298
15.4	1.06518
15.6	1.06389
15.8	1.06452
16	1.06366
16.2	1.06515
16.4	1.06472
16.6	1.06555
16.8	1.06327
17	1.0643
17.2	1.06496
17.4	1.06378
17.6	1.06406
17.8	1.06483
18	1.06562
18.2	1.06341
18.4	1.06606
18.6	1.0648
18.8	1.0656
19	1.06406
19.2	1.06481
19.4	1.06515
19.6	1.06733
19.8	1.06836
20	1.07131
20.2	1.07091
20.4	1.07001
20.6	1.07144
20.8	1.0724
21	1.07105
21.2	1.07207
21.4	1.07253
21.6	1.07243
21.8	1.07198
22	1.07074
22.2	1.07008
22.4	1.07086
22.6	1.06975
22.8	1.07033
23	1.07095
23.2	1.07299
23.4	1.07482
23.6	1.07807
23.8	1.07957
24	1.08209
24.2	1.08175
24.4	1.08038
24.6	1.07595
24.8	1.07395
25	1.07424
25.2	1.07398
25.4	1.07356
25.6	1.07434
25.8	1.07461
26	1.07494
26.2	1.07633
26.4	1.0777
26.6	1.08408
26.8	1.08483
27	1.08604
27.2	1.08804
27.4	1.09224
27.6	1.09035
27.8	1.09041
28	1.09034
28.2	1.09047
28.4	1.08797
28.6	1.08714
28.8	1.08796
29	1.08967
29.2	1.09145
29.4	1.09057
29.6	1.09166
29.8	1.09297
30	1.094
30.2	1.09397
30.4	1.09909
30.6	1.10006
30.8	1.09863
31	1.0995
31.2	1.0961
31.4	1.09604
31.6	1.09892
31.8	1.10179
32	1.09892
32.2	1.10057
32.4	1.09862
32.6	1.0977
32.8	1.10022
33	1.10176
33.2	1.10336
33.4	1.10342
33.6	1.10235
33.8	1.10276
34	1.105
34.2	1.10604
34.4	1.1059
34.6	1.10574
34.8	1.10519
35	1.107
35.2	1.10591
35.4	1.10615
35.6	1.10972
35.8	1.10404
36	1.10354
36.2	1.10757
36.4	1.11051
36.6	1.10777
36.8	1.11274
37	1.11194
37.2	1.10746
37.4	1.10827
37.6	1.10757
37.8	1.10823
38	1.10976
38.2	1.1121
38.4	1.1107
38.6	1.11524
38.8	1.11448
39	1.11364
39.2	1.11618
39.4	1.11768
39.6	1.11572
39.8	1.11664
40	1.11804
40.2	1.11457
40.4	1.11382
40.6	1.11341
40.8	1.11292
41	1.11331
41.2	1.11812
41.4	1.11945
41.6	1.12294
41.8	1.12457
42	1.12922
42.2	1.13058
42.4	1.13204
42.6	1.13492
42.8	1.13837
43	1.13451
43.2	1.1301
43.4	1.13155
43.6	1.13
43.8	1.1291
44	1.13101
44.2	1.13486
44.4	1.13431
44.6	1.13403
44.8	1.13153
45	1.13202
45.2	1.13402
45.4	1.1332
45.6	1.13583
45.8	1.14059
46	1.14025
46.2	1.13892
46.4	1.13948
46.6	1.13696
46.8	1.13727
47	1.1332
47.2	1.13513
47.4	1.13824
47.6	1.13637
47.8	1.13348
48	1.13724
48.2	1.13425
48.4	1.1332
48.6	1.13944
48.8	1.14126
49	1.14174
49.2	1.14334
49.4	1.1419
49.6	1.13871
49.8	1.13783
50	1.14075
50.2	1.1399
50.4	1.13605
50.6	1.14071
50.8	1.14074
51	1.13946
51.2	1.1359
51.4	1.13705
51.6	1.13161
51.8	1.13688
52	1.13721
52.2	1.14365
52.4	1.14746
52.6	1.1429
52.8	1.13819
53	1.13734
53.2	1.13612
53.4	1.1359
53.6	1.14363
53.8	1.14555
54	1.14583
54.2	1.14646
54.4	1.14348
54.6	1.14961
54.8	1.1494
55	1.14966
55.2	1.15346
55.4	1.1582
55.6	1.1519
55.8	1.15454
56	1.1536
56.2	1.15022
56.4	1.14513
56.6	1.14434
56.8	1.13824
57	1.13874
57.2	1.13761
57.4	1.14228
57.6	1.14115
57.8	1.14238
58	1.14845
58.2	1.14955
58.4	1.14823
58.6	1.15084
58.8	1.15125
59	1.14287
59.2	1.1419
59.4	1.14491
59.6	1.14037
59.8	1.14184
60	1.14935
60.2	1.15443
60.4	1.15035
60.6	1.15142
60.8	1.15267
61	1.15086
61.2	1.14748
