t	x
0	1
0.2	1.0001
0.4	1.00021
0.6	1.00035
0.8	1.0005
1	1.00068
1.2	1.00088
1.4	1.00112
1.6	1.00139
1.8	1.00169
2	1.00204
2.2	1.00244
2.4	1.0029
2.6	1.00342
2.8	1.00401
3	1.00469
3.2	1.00546
3.4	1.00632
3.6	1.00731
3.8	1.00841
4	1.00964
4.2	1.01102
4.4	1.01255
4.6	1.01424
4.8	1.01609
5	1.01812
5.2	1.02031
5.4	1.02267
5.6	1.0252
5.8	1.02789
6	1.03073
6.2	1.03372
6.4	1.03685
6.6	1.0401
6.8	1.04346
7	1.04692
7.2	1.05047
7.4	1.05408
7.6	1.05774
7.8	1.06144
8	1.06516
8.2	1.0689
8.4	1.07262
8.6	1.07634
8.8	1.08001
9	1.08365
9.2	1.08723
9.4	1.09075
9.6	1.09419
9.8	1.09754
10	1.1008
10.2	1.10395
10.4	1.10699
10.6	1.10991
10.8	1.1127
11	1.11536
11.2	1.11787
11.4	1.12024
11.6	1.12246
11.8	1.12451
12	1.12641
12.2	1.12814
12.4	1.1297
12.6	1.1311
12.8	1.13231
13	1.13336
13.2	1.13423
13.4	1.13492
13.6	1.13544
13.8	1.13579
14	1.13596
14.2	1.13596
14.4	1.1358
14.6	1.13547
14.8	1.13498
15	1.13434
15.2	1.13355
15.4	1.13261
15.6	1.13153
15.8	1.13032
16	1.12898
16.2	1.12753
16.4	1.12595
16.6	1.12428
16.8	1.1225
17	1.12063
17.2	1.11868
17.4	1.11665
17.6	1.11456
17.8	1.1124
18	1.11019
18.2	1.10793
18.4	1.10564
18.6	1.10331
18.8	1.10096
19	1.09859
19.2	1.09622
19.4	1.09384
19.6	1.09146
19.8	1.0891
20	1.08675
20.2	1.08442
20.4	1.08211
20.6	1.07984
20.8	1.07761
21	1.07542
21.2	1.07328
21.4	1.07119
21.6	1.06915
21.8	1.06717
22	1.06526
22.2	1.06341
22.4	1.06163
22.6	1.05992
22.8	1.05828
23	1.05673
23.2	1.05525
23.4	1.05385
23.6	1.05253
23.8	1.0513
24	1.05015
24.2	1.04909
24.4	1.04812
24.6	1.04723
24.8	1.04643
25	1.04572
25.2	1.0451
25.4	1.04457
25.6	1.04412
25.8	1.04376
26	1.04349
26.2	1.04331
26.4	1.04321
26.6	1.04319
26.8	1.04326
27	1.04341
27.2	1.04364
27.4	1.04395
27.6	1.04433
27.8	1.04479
28	1.04532
28.2	1.04592
28.4	1.04659
28.6	1.04733
28.8	1.04813
29	1.04899
29.2	1.0499
29.4	1.05087
29.6	1.0519
29.8	1.05297
30	1.05409
30.2	1.05525
30.4	1.05645
30.6	1.05769
30.8	1.05896
31	1.06026
31.2	1.06159
31.4	1.06294
31.6	1.06431
31.8	1.0657
32	1.0671
32.2	1.06851
32.4	1.06992
32.6	1.07134
32.8	1.07276
33	1.07418
33.2	1.07559
33.4	1.07699
33.6	1.07838
33.8	1.07975
34	1.08111
34.2	1.08245
34.4	1.08376
34.6	1.08505
34.8	1.08631
35	1.08754
35.2	1.08874
35.4	1.08991
35.6	1.09104
35.8	1.09213
36	1.09319
36.2	1.0942
36.4	1.09518
36.6	1.09611
36.8	1.09701
37	1.09785
37.2	1.09866
37.4	1.09942
37.6	1.10014
37.8	1.10081
38	1.10144
38.2	1.10203
38.4	1.10258
38.6	1.10308
38.8	1.10354
39	1.10396
39.2	1.10433
39.4	1.10467
39.6	1.10498
39.8	1.10524
40	1.10547
40.2	1.10567
40.4	1.10584
40.6	1.10597
40.8	1.10608
41	1.10615
41.2	1.10621
41.4	1.10623
41.6	1.10624
41.8	1.10623
42	1.1062
42.2	1.10615
42.4	1.10608
42.6	1.10601
42.8	1.10592
43	1.10582
43.2	1.10572
43.4	1.10561
43.6	1.1055
43.8	1.10538
44	1.10526
44.2	1.10515
44.4	1.10504
44.6	1.10493
44.8	1.10482
45	1.10472
45.2	1.10463
45.4	1.10455
45.6	1.10448
45.8	1.10442
46	1.10437
46.2	1.10434
46.4	1.10432
46.6	1.10431
46.8	1.10432
47	1.10434
