t	x
0	1
0.2	0.97733
0.4	0.9972
0.6	0.9966
0.8	0.9932
1	1.0072
1.2	0.9992
1.4	0.9934
1.6	0.9918
1.8	0.994
2	0.9902
2.2	0.9892
2.4	0.9894
2.6	0.9914
2.8	0.9898
3	0.9948
3.2	0.9958
3.4	0.9986
3.6	0.9994
3.8	1.0032
4	1.0026
4.2	1.0024
4.4	1.0004
4.6	0.9996
4.8	0.999
5	1.001
5.2	1.0012
5.4	1.0018
5.6	1.0004
5.8	0.997
6	1.0004
6.2	1.0018
6.4	1.003
6.6	1.0058
6.8	1.0074
7	1.001
7.2	1.003
7.4	1.0074
7.6	1.0036
7.8	1.009
8	1.0136
8.2	1.0082
8.4	1.0054
8.6	1.019
8.8	1.015
9	1.0146
9.2	1.0208
9.4	1.0252
9.6	1.0164
9.8	1.0294
10	1.028
10.2	1.0308
10.4	1.0308
10.6	1.0282
10.8	1.0176
11	1.0164
11.2	1.0208
11.4	1.0164
11.6	1.0258
11.8	1.0262
12	1.0262
12.2	1.0252
12.4	1.0334
12.6	1.0242
12.8	1.0262
13	1.031
13.2	1.029
13.4	1.0294
13.6	1.0416
13.8	1.0376
14	1.0316
14.2	1.0404
14.4	1.033
14.6	1.0296
14.8	1.0342
15	1.0404
15.2	1.032
15.4	1.0362
15.6	1.0372
15.8	1.0428
16	1.0432
16.2	1.0438
16.4	1.0376
16.6	1.0416
16.8	1.036
17	1.0372
17.2	1.0366
17.4	1.0396
17.6	1.0288
17.8	1.0298
18	1.0272
18.2	1.0322
18.4	1.0368
18.6	1.0396
18.8	1.0382
19	1.0382
19.2	1.0376
19.4	1.0212
19.6	1.0334
19.8	1.04
20	1.0416
20.2	1.0392
20.4	1.0564
20.6	1.0416
20.8	1.0396
21	1.0314
21.2	1.0294
21.4	1.0296
21.6	1.0332
21.8	1.028
22	1.0424
22.2	1.0368
22.4	1.0348
22.6	1.0314
22.8	1.0332
23	1.029
23.2	1.025
23.4	1.0294
23.6	1.0294
23.8	1.0304
24	1.0254
24.2	1.0284
24.4	1.0188
24.6	1.0168
24.8	1.0272
25	1.0366
25.2	1.0202
25.4	1.0254
25.6	1.0348
25.8	1.0312
26	1.0362
26.2	1.0562
26.4	1.0542
26.6	1.0514
26.8	1.0408
27	1.0324
27.2	1.0388
27.4	1.025
27.6	1.031
27.8	1.0332
28	1.0302
28.2	1.0148
28.4	1.0382
28.6	1.0224
28.8	1.0418
29	1.0488
29.2	1.0724
29.4	1.0474
29.6	1.0554
29.8	1.0436
30	1.043
30.2	1.023
30.4	1.0442
30.6	1.0448
30.8	1.0342
31	1.0326
31.2	1.0454
31.4	1.0404
31.6	1.0672
31.8	1.0598
32	1.0692
32.2	1.0666
32.4	1.0734
32.6	1.0456
32.8	1.055
33	1.0534
33.2	1.0518
33.4	1.0528
33.6	1.0528
33.8	1.0632
34	1.0508
34.2	1.0584
34.4	1.0698
34.6	1.0702
34.8	1.0694
35	1.0618
35.2	1.0678
35.4	1.0568
35.6	1.0634
35.8	1.0484
36	1.061
36.2	1.0574
36.4	1.0616
36.6	1.0498
36.8	1.0764
37	1.0864
37.2	1.0708
37.4	1.0738
37.6	1.0876
37.8	1.0666
38	1.0596
38.2	1.0792
38.4	1.08
38.6	1.0778
38.8	1.0674
39	1.0806
39.2	1.0796
39.4	1.071
39.6	1.062
39.8	1.0776
40	1.0634
40.2	1.0616
40.4	1.0598
40.6	1.0718
40.8	1.073
41	1.0648
41.2	1.0526
41.4	1.0602
41.6	1.0806
41.8	1.0832
42	1.1006
42.2	1.0882
42.4	1.0808
42.6	1.063
42.8	1.059
43	1.0396
43.2	1.0554
43.4	1.0638
43.6	1.0718
43.8	1.076
44	1.088
44.2	1.0764
44.4	1.0808
44.6	1.0644
44.8	1.069
45	1.0538
45.2	1.0744
45.4	1.0632
45.6	1.1008
45.8	1.09
46	1.098
46.2	1.0884
46.4	1.0982
46.6	1.039
46.8	1.0668
47	1.0676
47.2	1.0742
47.4	1.0568
47.6	1.075
47.8	1.082
48	1.0762
48.2	1.0752
48.4	1.0814
48.6	1.075
48.8	1.0564
49	1.0746
49.2	1.0748
49.4	1.0824
49.6	1.1064
49.8	1.0908
50	1.0928
50.2	1.082
50.4	1.0958
50.6	1.0874
50.8	1.0992
51	1.0928
51.2	1.1258
51.4	1.1012
51.6	1.1074
51.8	1.088
52	1.095
52.2	1.0894
52.4	1.1048
52.6	1.0886
52.8	1.098
53	1.1168
53.2	1.1108
53.4	1.0926
53.6	1.1094
53.8	1.1244
54	1.093
54.2	1.0958
54.4	1.1002
54.6	1.0958
54.8	1.0908
55	1.0918
55.2	1.071
55.4	1.0638
55.6	1.073
55.8	1.054
56	1.0774
56.2	1.0772
56.4	1.113
56.6	1.109
56.8	1.1284
57	1.1036
57.2	1.0946
57.4	1.0674
57.6	1.062
57.8	1.0726
58	1.0914
58.2	1.1066
58.4	1.1254
58.6	1.1002
58.8	1.1182
59	1.118
59.2	1.1368
59.4	1.1186
59.6	1.1376
59.8	1.101
60	1.0916
60.2	1.08
60.4	1.0856
60.6	1.0886
60.8	1.0952
61	1.0852
61.2	1.0936
61.4	1.091
61.6	1.0738
61.8	1.098
62	1.1184
62.2	1.0934
62.4	1.1114
62.6	1.1638
62.8	1.1272
63	1.114
63.2	1.1466
63.4	1.1334
63.6	1.124
63.8	1.1304
64	1.1168
64.2	1.127
64.4	1.122
64.6	1.1054
64.8	1.1134
65	1.1276
65.2	1.1018
65.4	1.1116
65.6	1.115
65.8	1.0926
66	1.0932
66.2	1.1114
66.4	1.0958
66.6	1.1064
66.8	1.1078
67	1.1116
67.2	1.1298
67.4	1.1432
67.6	1.1222
67.8	1.1396
68	1.1394
68.2	1.1116
68.4	1.112
68.6	1.1102
68.8	1.1178
69	1.1288
69.2	1.1118
69.4	1.1184
69.6	1.1242
69.8	1.1148
70	1.1154
70.2	1.112
70.4	1.1124
70.6	1.1472
70.8	1.1472
71	1.1132
71.2	1.1384
71.4	1.1374
71.6	1.0976
71.8	1.096
72	1.0858
72.2	1.0944
72.4	1.1406
72.6	1.1138
72.8	1.1056
73	1.155
73.2	1.153
73.4	1.0922
73.6	1.1272
73.8	1.1434
74	1.1216
74.2	1.0774
74.4	1.0912
74.6	1.1264
74.8	1.1762
75	1.1504
75.2	1.148
75.4	1.1378
75.6	1.1074
75.8	1.047
76	1.0974
76.2	1.1144
76.4	1.1176
76.6	1.11
