t	x
0	1
0.2	1.00067
0.4	1.00367
0.6	1.00667
0.8	1.009
1	1.01033
1.2	1.009
1.4	1.01033
1.6	1.00867
1.8	1.00833
2	1.00733
2.2	1.00567
2.4	1.00667
2.6	1.00733
2.8	1.00733
3	1.01
3.2	1.006
3.4	1.00833
3.6	1.01
3.8	1.01033
4	1.00767
4.2	1.002
4.4	1.00333
4.6	1.00733
4.8	1.00467
5	1.003
5.2	0.99667
5.4	1.003
5.6	1.00733
5.8	1.01167
6	0.99967
6.2	0.995
6.4	0.99133
6.6	1.003
6.8	1.00567
7	1.00767
7.2	1.00367
7.4	0.99533
7.6	1.00267
7.8	0.999
8	1.00233
8.2	0.99167
8.4	0.99733
8.6	1.00567
8.8	1.00833
9	1.00133
9.2	0.99367
9.4	0.99067
9.6	0.99067
9.8	0.99967
10	1.00267
10.2	1.00567
10.4	0.99933
10.6	0.99433
10.8	0.996
11	0.98867
11.2	0.98567
11.4	0.99333
11.6	0.99967
11.8	1.007
12	1
12.2	1.00933
12.4	1.011
12.6	1.008
12.8	0.98867
13	0.997
13.2	1.01067
13.4	1.02233
13.6	1.01567
13.8	1.008
14	1.012
14.2	1.01633
14.4	1.01533
14.6	1.00067
14.8	1.00333
15	1.01633
15.2	1.02767
15.4	1.02467
15.6	1.01433
15.8	1.019
16	1.013
16.2	1.02233
16.4	1.02833
16.6	1.03533
16.8	1.024
17	1.03767
17.2	1.03867
17.4	1.03
17.6	1.01633
17.8	1.027
18	1.03333
18.2	1.03067
18.4	1.033
18.6	1.054
18.8	1.05
19	1.03567
19.2	1.01133
19.4	1.00267
19.6	1.02267
19.8	1.037
20	1.05967
20.2	1.041
20.4	1.02233
20.6	1.02167
20.8	1.02
21	1.026
21.2	1.03467
21.4	1.045
21.6	1.03833
21.8	1.03167
22	1.03633
22.2	1.05133
22.4	1.04867
22.6	1.033
22.8	1.04733
23	1.02333
23.2	1.03833
23.4	1.028
23.6	1.05067
23.8	1.04933
24	1.04167
24.2	1.05
24.4	1.035
24.6	1.04467
24.8	1.037
25	1.02033
25.2	1.03167
25.4	1.02167
25.6	1.054
25.8	1.05367
26	1.04267
26.2	1.04533
26.4	1.03167
26.6	1.03067
26.8	1.029
27	1.032
27.2	1.04267
27.4	1.03367
27.6	1.041
27.8	1.04333
28	1.03033
28.2	1.02833
28.4	1.019
28.6	1.03533
28.8	1.055
29	1.05133
29.2	1.047
29.4	1.00267
29.6	1.02633
29.8	1.022
30	1.036
30.2	1.04967
30.4	1.07
30.6	1.06333
30.8	1.05467
31	1.062
31.2	1.07533
31.4	1.06833
31.6	1.04067
31.8	1.01467
32	1.03267
32.2	1.06133
32.4	1.08867
32.6	1.07233
32.8	1.05833
33	1.05567
33.2	1.05967
33.4	1.06067
33.6	1.068
33.8	1.044
34	1.06633
34.2	1.06633
34.4	1.063
34.6	1.02733
34.8	1.042
35	1.06433
35.2	1.07867
35.4	1.06
35.6	1.06367
35.8	1.04967
36	1.061
36.2	1.07433
36.4	1.10133
36.6	1.084
36.8	1.09267
37	1.06167
37.2	1.08267
37.4	1.043
37.6	1.03067
37.8	1.037
38	1.02633
38.2	1.051
38.4	1.05267
38.6	1.05833
38.8	1.06033
39	1.038
39.2	1.05
39.4	1.04433
39.6	1.07
39.8	1.08933
40	1.086
40.2	1.03
40.4	1.013
40.6	1.03133
40.8	1.05833
41	1.05133
41.2	1.05033
41.4	1.038
41.6	1.076
41.8	1.08367
42	1.09967
42.2	1.07267
42.4	1.06633
42.6	1.041
42.8	1.05067
43	1.108
43.2	1.106
43.4	1.08667
43.6	1.00967
43.8	1.03333
44	1.07
44.2	1.06867
44.4	1.07733
44.6	1.05767
44.8	1.10567
45	1.094
45.2	1.057
45.4	1.04467
45.6	1.08033
45.8	1.12633
46	1.11833
46.2	1.05133
46.4	1.06067
46.6	1.032
46.8	1.07333
47	1.07467
47.2	1.09233
47.4	1.07267
47.6	1.035
47.8	1.07333
48	1.08933
48.2	1.09767
48.4	1.114
48.6	1.12133
48.8	1.12633
49	1.05767
49.2	1.066
49.4	1.09833
49.6	1.10033
49.8	1.12167
50	1.12433
50.2	1.096
50.4	1.086
50.6	1.05633
50.8	1.09167
51	1.05333
51.2	1.03433
51.4	1.07267
51.6	1.072
51.8	1.10433
52	1.064
52.2	1.09067
52.4	1.072
52.6	1.06733
52.8	1.047
53	1.059
53.2	1.07167
53.4	1.14467
53.6	1.134
53.8	1.101
54	1.036
54.2	1.075
54.4	1.08267
54.6	1.111
54.8	1.084
55	1.11267
55.2	1.05433
55.4	1.08767
55.6	1.10867
55.8	1.103
56	1.08467
56.2	1.062
56.4	1.08767
56.6	1.073
56.8	1.06533
57	1.13867
57.2	1.107
57.4	1.14
57.6	1.09733
57.8	1.13933
58	1.11767
58.2	1.11533
58.4	1.122
58.6	1.12
58.8	1.118
59	1.08667
59.2	1.062
59.4	1.11
59.6	1.15767
59.8	1.14533
60	1.064
60.2	1.036
60.4	1.09967
60.6	1.08967
60.8	1.11433
61	1.07467
61.2	1.11533
61.4	1.107
61.6	1.11533
61.8	1.05867
62	1.083
62.2	1.11367
62.4	1.14367
62.6	1.07633
62.8	1.07033
63	1.084
63.2	1.11433
63.4	1.07667
63.6	1.11533
63.8	1.10067
64	1.09967
64.2	1.13467
64.4	1.09467
64.6	1.102
64.8	1.04133
65	1.072
65.2	1.12033
65.4	1.12733
65.6	1.139
65.8	1.12367
66	1.07433
66.2	1.06933
66.4	1.07333
66.6	1.10467
66.8	1.105
67	1.089
67.2	1.06233
67.4	1.1
67.6	1.083
67.8	1.15767
68	1.105
68.2	1.12367
68.4	1.09233
68.6	1.096
68.8	1.08933
69	1.12567
69.2	1.15867
69.4	1.169
69.6	1.107
69.8	1.102
70	1.07633
70.2	1.11833
70.4	1.11967
70.6	1.12533
70.8	1.07867
71	1.09467
71.2	1.09533
71.4	1.09633
71.6	1.121
71.8	1.155
72	1.13367
72.2	1.06733
72.4	1.083
72.6	1.07967
72.8	1.186
73	1.13
73.2	1.14167
73.4	1.05067
73.6	1.024
73.8	1.10633
74	1.134
74.2	1.19333
74.4	1.09767
74.6	1.05767
74.8	1.04733
75	1.13167
75.2	1.17133
75.4	1.17467
75.6	1.10533
75.8	1.10733
76	1.13967
76.2	1.14167
76.4	1.10667
76.6	1.1
76.8	1.16633
77	1.11633
77.2	1.10067
77.4	1.045
77.6	1.12067
77.8	1.07767
78	1.14667
78.2	1.12467
78.4	1.154
78.6	1.13
78.8	1.14
79	1.09867
79.2	1.13133
79.4	1.11767
79.6	1.13267
79.8	1.09567
80	1.07633
80.2	1.09233
80.4	1.13233
80.6	1.208
80.8	1.22633
81	1.17067
81.2	1.12133
81.4	1.12633
81.6	1.17433
81.8	1.22267
82	1.146
82.2	1.08467
82.4	1.03133
82.6	1.094
82.8	1.12633
83	1.134
83.2	1.08367
83.4	1.07833
83.6	1.15767
83.8	1.20333
84	1.21067
84.2	1.13067
84.4	1.161
84.6	1.13
84.8	1.111
85	1.05667
85.2	1.02167
85.4	1.04467
85.6	1.104
85.8	1.16333
86	1.128
86.2	1.08733
86.4	1.09333
86.6	1.166
86.8	1.16033
87	1.16067
87.2	1.12267
87.4	1.10733
87.6	1.07267
87.8	1.13133
88	1.13867
88.2	1.123
88.4	1.11667
88.6	1.135
88.8	1.131
89	1.07133
89.2	1.07333
89.4	1.165
89.6	1.14
89.8	1.13367
90	1.086
90.2	1.09733
90.4	1.08667
90.6	1.05067
90.8	1.07933
91	1.09067
91.2	1.11367
91.4	1.14067
91.6	1.10767
91.8	1.122
92	1.091
92.2	1.128
92.4	1.13433
92.6	1.097
92.8	1.08333
93	1.03833
93.2	1.087
93.4	1.175
93.6	1.19767
93.8	1.11767
94	1.094
94.2	1.08433
94.4	1.10267
94.6	1.11033
94.8	1.13667
95	1.19433
95.2	1.10133
95.4	1.06033
95.6	1.135
95.8	1.13733
96	1.14033
96.2	1.16967
96.4	1.204
96.6	1.214
96.8	1.04467
97	1.09433
97.2	1.15533
97.4	1.19733
97.6	1.13333
97.8	1.15567
98	1.14033
98.2	1.08867
98.4	1.05133
98.6	1.11267
98.8	1.153
99	1.14933
99.2	1.09133
99.4	1.12267
99.6	1.12067
99.8	1.15867
100	1.11
