t	x
0	1
0.2	0.99984
0.4	0.99965
0.6	0.99942
0.8	0.99916
1	0.99886
1.2	0.99851
1.4	0.9981
1.6	0.99763
1.8	0.99709
2	0.99647
2.2	0.99576
2.4	0.99494
2.6	0.99401
2.8	0.99295
3	0.99174
3.2	0.99038
3.4	0.98885
3.6	0.98714
3.8	0.98524
4	0.98314
4.2	0.98085
4.4	0.97836
4.6	0.97568
4.8	0.97283
5	0.96982
5.2	0.96669
5.4	0.96346
5.6	0.96018
5.8	0.95689
6	0.95363
6.2	0.95045
6.4	0.9474
6.6	0.94453
6.8	0.94188
7	0.93951
7.2	0.93746
7.4	0.93575
7.6	0.93443
7.8	0.93353
8	0.93305
8.2	0.93303
8.4	0.93347
8.6	0.93438
8.8	0.93576
9	0.9376
9.2	0.93989
9.4	0.94262
9.6	0.94577
9.8	0.94931
10	0.95323
10.2	0.9575
10.4	0.96208
10.6	0.96694
10.8	0.97205
11	0.97738
11.2	0.98288
11.4	0.98852
11.6	0.99426
11.8	1.00007
12	1.00591
12.2	1.01174
12.4	1.01752
12.6	1.02324
12.8	1.02884
13	1.03431
13.2	1.0396
13.4	1.04471
13.6	1.0496
13.8	1.05425
14	1.05864
14.2	1.06276
14.4	1.06659
14.6	1.07013
14.8	1.07335
15	1.07626
15.2	1.07884
15.4	1.08111
15.6	1.08307
15.8	1.0847
16	1.08603
16.2	1.08705
16.4	1.08778
16.6	1.08823
16.8	1.0884
17	1.08832
17.2	1.08799
17.4	1.08743
17.6	1.08666
17.8	1.08568
18	1.08453
18.2	1.08322
18.4	1.08175
18.6	1.08015
18.8	1.07844
19	1.07663
19.2	1.07473
19.4	1.07276
19.6	1.07074
19.8	1.06868
20	1.06658
20.2	1.06447
20.4	1.06235
20.6	1.06024
20.8	1.05814
21	1.05606
21.2	1.05401
21.4	1.052
21.6	1.05004
21.8	1.04812
22	1.04626
22.2	1.04445
22.4	1.04271
22.6	1.04103
22.8	1.03942
23	1.03788
23.2	1.03642
23.4	1.03502
23.6	1.0337
23.8	1.03245
24	1.03127
24.2	1.03018
24.4	1.02915
24.6	1.0282
24.8	1.02733
25	1.02653
25.2	1.02581
25.4	1.02515
25.6	1.02458
25.8	1.02407
26	1.02364
26.2	1.02328
26.4	1.02299
26.6	1.02278
26.8	1.02263
27	1.02256
27.2	1.02256
27.4	1.02262
27.6	1.02276
27.8	1.02297
28	1.02324
28.2	1.02358
28.4	1.02399
28.6	1.02446
28.8	1.025
29	1.02561
29.2	1.02627
29.4	1.027
29.6	1.02779
29.8	1.02863
30	1.02953
30.2	1.03048
30.4	1.03148
30.6	1.03253
30.8	1.03363
31	1.03477
31.2	1.03594
31.4	1.03716
31.6	1.0384
31.8	1.03967
32	1.04097
32.2	1.04228
32.4	1.04361
32.6	1.04496
32.8	1.04631
33	1.04767
33.2	1.04903
