t	x
84.4	1.031
84.6	1.118
84.8	1.122
85	1.182
85.2	1.076
85.4	1.075
85.6	1.014
85.8	1.136
86	1.121
86.2	1.006
86.4	1.171
86.6	1.166
86.8	0.996
87	1.122
87.2	1.188
87.4	1.048
87.6	0.966
87.8	1.063
88	1.267
88.2	1.135
88.4	1.065
88.6	1.111
88.8	1.04
89	1.094
89.2	1.196
89.4	1.074
89.6	1.099
89.8	1.107
90	1.101
90.2	1.03
90.4	1.215
90.6	1.151
90.8	0.947
91	1.095
91.2	1.162
91.4	1.144
91.6	1.176
91.8	1.184
92	1.103
92.2	1.145
92.4	1.044
92.6	1.06
92.8	1.36
93	1.008
93.2	1.083
93.4	1.292
93.6	1.234
93.8	1.105
94	1.129
94.2	1.073
94.4	1.188
94.6	1.045
94.8	1.127
95	1.219
95.2	1.139
95.4	1.012
95.6	1.004
95.8	1.213
96	1.256
96.2	1.048
96.4	1.042
96.6	1.179
96.8	1.087
97	1.115
97.2	1.091
97.4	1.102
97.6	1.048
97.8	1.123
98	0.97
98.2	1.075
98.4	1.083
98.6	1.328
98.8	1.166
99	1.053
99.2	1.116
99.4	1.169
99.6	1.159
99.8	1.128
