t	x
0	1
0.2	1.00388
0.4	1.0088
0.6	1.01281
0.8	1.01628
1	1.0194
1.2	1.02135
1.4	1.02274
1.6	1.0249
1.8	1.02691
2	1.02907
2.2	1.03086
2.4	1.03436
2.6	1.03718
2.8	1.04077
3	1.04386
3.2	1.04867
3.4	1.05108
3.6	1.0552
3.8	1.05904
4	1.06346
4.2	1.06775
4.4	1.07218
4.6	1.07542
4.8	1.07853
5	1.08045
5.2	1.08254
5.4	1.08531
5.6	1.08663
5.8	1.0885
6	1.09124
6.2	1.09121
6.4	1.0911
6.6	1.09042
6.8	1.09014
7	1.08931
7.2	1.08995
7.4	1.08913
7.6	1.08972
7.8	1.08851
8	1.08798
8.2	1.08659
8.4	1.08568
8.6	1.08554
8.8	1.08581
9	1.08385
9.2	1.08448
9.4	1.08461
9.6	1.0827
9.8	1.08123
10	1.0824
10.2	1.07985
10.4	1.07958
10.6	1.07928
10.8	1.08054
11	1.08027
11.2	1.08117
11.4	1.07855
11.6	1.07877
11.8	1.07643
12	1.0741
12.2	1.07212
12.4	1.07106
12.6	1.06848
12.8	1.06782
13	1.06513
13.2	1.06396
13.4	1.06546
13.6	1.06585
13.8	1.06377
14	1.06388
14.2	1.06283
14.4	1.05939
14.6	1.05524
14.8	1.05545
15	1.05575
15.2	1.05477
15.4	1.05666
15.6	1.05797
15.8	1.05625
16	1.05527
16.2	1.05631
16.4	1.0536
16.6	1.05178
16.8	1.05247
17	1.05279
17.2	1.05132
17.4	1.05287
17.6	1.05629
17.8	1.05732
18	1.05746
18.2	1.05861
18.4	1.05747
18.6	1.05735
18.8	1.05443
19	1.05587
19.2	1.05723
19.4	1.06188
19.6	1.06285
19.8	1.06579
20	1.06617
20.2	1.06621
20.4	1.06475
20.6	1.06476
20.8	1.06563
21	1.06421
21.2	1.06462
21.4	1.06634
21.6	1.06577
21.8	1.06698
22	1.06933
22.2	1.0683
22.4	1.06941
22.6	1.06987
22.8	1.07355
23	1.07326
23.2	1.07334
23.4	1.0699
23.6	1.06949
23.8	1.06774
24	1.06485
24.2	1.06672
24.4	1.06771
24.6	1.06869
24.8	1.06755
25	1.06998
25.2	1.07151
25.4	1.07047
25.6	1.07272
25.8	1.07204
26	1.0722
26.2	1.07426
26.4	1.07648
26.6	1.07529
26.8	1.07557
27	1.07745
27.2	1.07501
27.4	1.07555
27.6	1.07852
27.8	1.07941
28	1.07907
28.2	1.08026
28.4	1.08239
28.6	1.08317
28.8	1.08179
29	1.08071
29.2	1.08289
29.4	1.08436
29.6	1.08312
29.8	1.08388
30	1.08733
30.2	1.08774
30.4	1.08711
30.6	1.08349
30.8	1.08683
31	1.09268
31.2	1.09331
31.4	1.09283
31.6	1.09522
31.8	1.09278
32	1.08671
32.2	1.08988
32.4	1.08886
32.6	1.0902
32.8	1.09026
33	1.0927
33.2	1.08856
33.4	1.09322
33.6	1.09536
33.8	1.0997
34	1.0986
34.2	1.10136
34.4	1.10359
34.6	1.10445
34.8	1.10326
35	1.10653
35.2	1.10544
35.4	1.10395
35.6	1.10025
35.8	1.10418
36	1.10189
36.2	1.1034
36.4	1.10227
36.6	1.10886
36.8	1.10945
37	1.11241
37.2	1.11188
37.4	1.11234
37.6	1.11282
37.8	1.11364
38	1.11371
38.2	1.11579
38.4	1.11506
38.6	1.11264
38.8	1.11212
39	1.11178
39.2	1.11127
39.4	1.11584
39.6	1.11614
39.8	1.11456
40	1.11518
40.2	1.11478
40.4	1.11094
40.6	1.11559
40.8	1.11446
41	1.11504
41.2	1.11196
41.4	1.11478
41.6	1.11262
41.8	1.11472
42	1.11199
42.2	1.1153
42.4	1.11993
42.6	1.11871
42.8	1.11605
43	1.12292
43.2	1.12123
43.4	1.11541
43.6	1.11843
43.8	1.12457
44	1.12088
44.2	1.12582
44.4	1.12926
44.6	1.12737
44.8	1.12892
45	1.1293
45.2	1.1273
45.4	1.12583
45.6	1.12716
45.8	1.12868
46	1.12752
46.2	1.12857
46.4	1.12801
46.6	1.12952
46.8	1.13042
47	1.13701
47.2	1.13528
47.4	1.13469
47.6	1.1364
47.8	1.135
48	1.13338
48.2	1.13706
48.4	1.14371
48.6	1.14395
48.8	1.14378
49	1.13868
49.2	1.13892
49.4	1.13435
49.6	1.13387
49.8	1.13147
50	1.13195
50.2	1.1275
50.4	1.12949
50.6	1.12624
50.8	1.12764
51	1.12899
51.2	1.12995
51.4	1.13044
51.6	1.1294
51.8	1.12666
52	1.12798
52.2	1.12689
52.4	1.12712
52.6	1.13069
52.8	1.13777
53	1.13531
53.2	1.13998
53.4	1.13789
53.6	1.1367
53.8	1.12843
54	1.13327
54.2	1.13236
54.4	1.12611
54.6	1.12039
54.8	1.11634
55	1.11662
55.2	1.11466
55.4	1.11757
55.6	1.1207
55.8	1.12403
56	1.11973
56.2	1.12403
56.4	1.12562
56.6	1.13353
56.8	1.13427
57	1.14045
57.2	1.14037
57.4	1.13925
57.6	1.13759
57.8	1.14452
58	1.14067
58.2	1.14093
58.4	1.14218
58.6	1.13891
58.8	1.13583
59	1.13934
59.2	1.13255
59.4	1.13657
59.6	1.13553
59.8	1.13211
60	1.12804
60.2	1.1407
60.4	1.1372
60.6	1.13775
60.8	1.13899
61	1.13874
61.2	1.13275
61.4	1.1363
61.6	1.14035
61.8	1.14371
62	1.14553
62.2	1.14465
62.4	1.14595
62.6	1.14531
62.8	1.14378
63	1.1401
63.2	1.14336
63.4	1.14082
63.6	1.13895
63.8	1.14409
64	1.1494
64.2	1.15089
64.4	1.15526
64.6	1.15582
64.8	1.15204
65	1.15185
65.2	1.15069
65.4	1.14576
65.6	1.14475
65.8	1.1437
66	1.14674
66.2	1.14484
66.4	1.14186
66.6	1.14681
66.8	1.15174
67	1.1492
67.2	1.14797
67.4	1.15361
67.6	1.14697
67.8	1.13933
68	1.14106
68.2	1.14149
68.4	1.14225
68.6	1.15071
68.8	1.1555
69	1.15587
69.2	1.15987
69.4	1.16035
69.6	1.15903
69.8	1.15487
70	1.15498
70.2	1.15279
70.4	1.14572
70.6	1.14249
70.8	1.14826
71	1.14127
71.2	1.13736
71.4	1.14584
71.6	1.14856
71.8	1.14793
72	1.1502
72.2	1.16008
72.4	1.15614
72.6	1.15146
72.8	1.14884
73	1.15102
73.2	1.15136
73.4	1.15666
73.6	1.16567
73.8	1.17275
74	1.17392
74.2	1.16467
74.4	1.16645
74.6	1.16024
74.8	1.15731
75	1.15777
75.2	1.16569
75.4	1.1598
75.6	1.15769
75.8	1.15556
76	1.15241
76.2	1.14823
76.4	1.1456
76.6	1.15199
76.8	1.15112
77	1.15269
77.2	1.15599
77.4	1.16692
77.6	1.16125
77.8	1.16746
78	1.1769
78.2	1.17875
78.4	1.17368
78.6	1.1777
78.8	1.17562
79	1.17484
79.2	1.16285
79.4	1.16166
79.6	1.16309
79.8	1.15868
80	1.15759
80.2	1.16408
80.4	1.16375
80.6	1.15576
80.8	1.15344
81	1.15013
81.2	1.1506
81.4	1.15097
81.6	1.16108
81.8	1.16577
82	1.16904
82.2	1.16138
82.4	1.15554
82.6	1.14556
82.8	1.14088
83	1.13243
83.2	1.14846
83.4	1.15666
83.6	1.15977
83.8	1.16473
84	1.16583
84.2	1.16076
84.4	1.15625
84.6	1.1625
84.8	1.16555
85	1.17293
85.2	1.17491
85.4	1.17607
85.6	1.17903
85.8	1.17458
86	1.1657
86.2	1.16071
86.4	1.16558
86.6	1.15741
86.8	1.15859
87	1.17068
87.2	1.1766
87.4	1.1663
87.6	1.16627
87.8	1.17411
88	1.17162
88.2	1.16935
88.4	1.18259
88.6	1.18209
88.8	1.18183
89	1.18309
89.2	1.17255
89.4	1.1648
89.6	1.16092
89.8	1.15227
90	1.14708
90.2	1.15836
90.4	1.16116
90.6	1.16233
90.8	1.16567
91	1.16095
91.2	1.15385
91.4	1.14625
91.6	1.15551
91.8	1.14928
92	1.14846
92.2	1.14731
92.4	1.14733
92.6	1.14378
92.8	1.15123
93	1.15404
93.2	1.16353
93.4	1.168
93.6	1.16379
93.8	1.15204
94	1.15036
94.2	1.14726
94.4	1.15241
94.6	1.16383
94.8	1.17832
95	1.1876
95.2	1.18242
95.4	1.17654
95.6	1.15717
95.8	1.15883
96	1.15088
96.2	1.15676
96.4	1.16166
96.6	1.16313
96.8	1.16014
97	1.16218
97.2	1.16092
97.4	1.15823
97.6	1.17244
97.8	1.16592
98	1.15997
98.2	1.15929
98.4	1.15351
98.6	1.14383
98.8	1.14689
99	1.15664
99.2	1.161
99.4	1.16627
99.6	1.17456
99.8	1.18123
100	1.17947
100.2	1.16906
100.4	1.16574
100.6	1.16075
100.8	1.15635
101	1.1538
101.2	1.1528
101.4	1.156
101.6	1.15593
101.8	1.15114
102	1.15484
102.2	1.16129
102.4	1.16336
102.6	1.16274
102.8	1.16357
103	1.15959
103.2	1.16934
103.4	1.16703
103.6	1.1688
103.8	1.17692
104	1.17393
104.2	1.1665
104.4	1.17279
104.6	1.16894
104.8	1.16872
105	1.17288
105.2	1.17654
105.4	1.16085
105.6	1.18213
105.8	1.17635
106	1.17207
106.2	1.17458
106.4	1.18595
106.6	1.16945
106.8	1.16726
107	1.17363
107.2	1.16798
107.4	1.15902
107.6	1.16062
107.8	1.15432
108	1.1556
108.2	1.15695
108.4	1.15406
108.6	1.16056
108.8	1.1652
109	1.16752
109.2	1.15273
109.4	1.16391
109.6	1.15736
109.8	1.15456
110	1.15276
110.2	1.1632
110.4	1.15001
110.6	1.15419
110.8	1.15964
111	1.15098
111.2	1.1519
111.4	1.16606
111.6	1.161
111.8	1.16565
112	1.17102
112.2	1.17739
112.4	1.17349
112.6	1.17328
112.8	1.17083
113	1.16972
113.2	1.16605
113.4	1.17056
113.6	1.17102
113.8	1.16755
114	1.16626
114.2	1.16631
114.4	1.16658
114.6	1.16407
114.8	1.16556
115	1.17336
115.2	1.17821
115.4	1.1727
115.6	1.16984
115.8	1.17484
116	1.16848
116.2	1.15797
116.4	1.1652
116.6	1.17233
116.8	1.16749
117	1.1648
117.2	1.16449
117.4	1.17073
117.6	1.17402
117.8	1.17113
118	1.17134
118.2	1.18081
118.4	1.16053
118.6	1.14236
118.8	1.15056
119	1.15673
119.2	1.1488
119.4	1.15765
119.6	1.17032
119.8	1.16243
120	1.16082
120.2	1.16331
120.4	1.16252
120.6	1.16607
120.8	1.17111
121	1.16908
121.2	1.15537
121.4	1.15865
121.6	1.15692
121.8	1.15905
122	1.16167
122.2	1.18715
122.4	1.17861
122.6	1.18594
122.8	1.18332
123	1.18265
123.2	1.16881
123.4	1.17918
123.6	1.17289
123.8	1.16802
124	1.16075
124.2	1.15534
124.4	1.15432
124.6	1.15544
124.8	1.15601
125	1.15393
125.2	1.16819
125.4	1.16663
125.6	1.16545
125.8	1.17525
126	1.18009
126.2	1.15612
126.4	1.161
126.6	1.15534
126.8	1.14942
127	1.14788
127.2	1.16537
127.4	1.16197
127.6	1.15966
127.8	1.1609
128	1.15586
128.2	1.15583
128.4	1.15711
128.6	1.17186
128.8	1.17958
129	1.18185
129.2	1.18281
129.4	1.17055
129.6	1.15895
129.8	1.14344
130	1.14649
130.2	1.13748
130.4	1.1433
130.6	1.14214
130.8	1.15042
131	1.14635
131.2	1.15057
