t	x
0	1
0.2	1.00108
0.4	1.00232
0.6	1.00376
0.8	1.00539
1	1.00724
1.2	1.00934
1.4	1.01169
1.6	1.01433
1.8	1.01726
2	1.02052
2.2	1.02412
2.4	1.02807
2.6	1.03237
2.8	1.03703
3	1.04203
3.2	1.04733
3.4	1.0529
3.6	1.05865
3.8	1.0645
4	1.07032
4.2	1.07596
4.4	1.08127
4.6	1.08604
4.8	1.0901
5	1.09326
5.2	1.09534
5.4	1.09622
5.6	1.09582
5.8	1.09409
6	1.0911
6.2	1.08692
6.4	1.08173
6.6	1.07574
6.8	1.06917
7	1.0623
7.2	1.05537
7.4	1.04863
7.6	1.04229
7.8	1.03653
8	1.03147
8.2	1.02723
8.4	1.02385
8.6	1.02135
8.8	1.01972
9	1.01891
9.2	1.01887
9.4	1.0195
9.6	1.02073
9.8	1.02246
10	1.02459
10.2	1.02703
10.4	1.0297
10.6	1.03252
10.8	1.03542
11	1.03833
11.2	1.04123
11.4	1.04405
11.6	1.04678
11.8	1.04939
12	1.05186
12.2	1.05418
12.4	1.05633
12.6	1.05832
12.8	1.06012
13	1.06175
13.2	1.06321
13.4	1.0645
13.6	1.06563
13.8	1.06664
14	1.06754
14.2	1.06837
14.4	1.06919
14.6	1.07004
14.8	1.071
15	1.07215
15.2	1.07355
15.4	1.0753
15.6	1.07748
15.8	1.08017
16	1.08345
16.2	1.08739
16.4	1.09203
16.6	1.09742
16.8	1.10357
17	1.11047
17.2	1.11809
17.4	1.12637
17.6	1.13522
17.8	1.14451
18	1.1541
18.2	1.16381
18.4	1.17343
18.6	1.18275
18.8	1.19154
19	1.19958
19.2	1.20665
19.4	1.21254
19.6	1.2171
19.8	1.22019
20	1.22173
20.2	1.2217
20.4	1.22011
20.6	1.21704
20.8	1.21261
21	1.20699
21.2	1.20038
21.4	1.19299
21.6	1.18505
21.8	1.17681
22	1.1685
22.2	1.16032
22.4	1.15248
22.6	1.14514
22.8	1.13847
23	1.13256
23.2	1.12752
23.4	1.1234
23.6	1.12022
23.8	1.11799
24	1.11666
24.2	1.11619
24.4	1.11648
24.6	1.11743
24.8	1.11892
25	1.12081
25.2	1.12294
25.4	1.12517
25.6	1.12734
25.8	1.12931
26	1.13094
26.2	1.13214
26.4	1.1328
26.6	1.13288
26.8	1.13235
27	1.13122
27.2	1.12951
27.4	1.12729
27.6	1.12465
27.8	1.12168
28	1.1185
28.2	1.11522
28.4	1.11198
28.6	1.10887
28.8	1.10602
29	1.1035
29.2	1.10141
29.4	1.0998
29.6	1.09872
29.8	1.0982
30	1.09825
30.2	1.09887
30.4	1.10002
30.6	1.10169
30.8	1.10383
31	1.10638
31.2	1.10928
31.4	1.11246
31.6	1.11587
31.8	1.11942
32	1.12306
32.2	1.12672
32.4	1.13034
32.6	1.13389
32.8	1.1373
33	1.14056
33.2	1.14364
33.4	1.14651
33.6	1.14916
33.8	1.15158
34	1.15378
34.2	1.15576
34.4	1.1575
34.6	1.15903
34.8	1.16033
35	1.16143
35.2	1.16231
35.4	1.16298
35.6	1.16344
35.8	1.16371
36	1.16378
36.2	1.16366
36.4	1.16337
36.6	1.16292
36.8	1.16233
37	1.16163
37.2	1.16085
37.4	1.16003
37.6	1.1592
37.8	1.15842
38	1.15774
38.2	1.15719
38.4	1.15682
38.6	1.15669
38.8	1.15684
39	1.15729
39.2	1.15807
39.4	1.15922
39.6	1.16073
39.8	1.1626
40	1.16483
40.2	1.16739
40.4	1.17025
40.6	1.17335
40.8	1.17666
41	1.1801
41.2	1.1836
41.4	1.1871
41.6	1.19052
41.8	1.19379
42	1.19684
42.2	1.19961
42.4	1.20204
42.6	1.20409
42.8	1.20573
43	1.20696
43.2	1.20776
43.4	1.20816
43.6	1.20818
43.8	1.20785
44	1.20723
44.2	1.20638
44.4	1.20535
44.6	1.20421
44.8	1.20302
45	1.20184
45.2	1.20072
45.4	1.1997
45.6	1.19883
45.8	1.19813
46	1.19761
46.2	1.19728
46.4	1.19713
46.6	1.19715
46.8	1.1973
47	1.19757
47.2	1.19791
47.4	1.19828
47.6	1.19864
47.8	1.19895
48	1.19916
48.2	1.19926
48.4	1.19921
48.6	1.199
48.8	1.19861
49	1.19804
49.2	1.19731
49.4	1.19644
49.6	1.19544
49.8	1.19436
50	1.19323
50.2	1.19209
50.4	1.19099
50.6	1.18996
50.8	1.18905
51	1.18829
51.2	1.18772
51.4	1.18736
51.6	1.18722
51.8	1.18733
52	1.18768
52.2	1.18826
52.4	1.18908
52.6	1.1901
52.8	1.19131
53	1.19269
53.2	1.19419
53.4	1.19579
53.6	1.19745
53.8	1.19915
54	1.20084
54.2	1.20251
54.4	1.20412
54.6	1.20566
54.8	1.20711
55	1.20846
55.2	1.20969
55.4	1.21082
55.6	1.21183
55.8	1.21273
56	1.21353
56.2	1.21423
56.4	1.21485
56.6	1.21538
56.8	1.21583
57	1.21621
57.2	1.21651
57.4	1.21674
57.6	1.21689
57.8	1.21696
58	1.21693
58.2	1.21681
58.4	1.21659
58.6	1.21625
58.8	1.21579
59	1.21522
59.2	1.21452
59.4	1.21371
59.6	1.21279
59.8	1.21177
60	1.21067
60.2	1.20951
60.4	1.20831
60.6	1.20711
60.8	1.20592
61	1.20479
