t	x
0	1
0.2	1.003
0.4	1.0022
0.6	1.0024
0.8	1.0032
1	1.004
1.2	1.0044
1.4	1.003
1.6	1.0024
1.8	0.9992
2	0.998
2.2	1
2.4	1.0014
2.6	1.0004
2.8	1.0028
3	1.0016
3.2	0.9984
3.4	0.9976
3.6	1.003
3.8	1.0046
4	1.0074
4.2	1.0112
4.4	1.0134
4.6	1.0102
4.8	1.0062
5	1.0032
5.2	1.0012
5.4	1.0034
5.6	1.004
5.8	1.0078
6	1.013
6.2	1.0146
6.4	1.0162
6.6	1.0154
6.8	1.019
7	1.0244
7.2	1.0236
7.4	1.0204
7.6	1.0226
7.8	1.0214
8	1.019
8.2	1.0282
8.4	1.0314
8.6	1.0344
8.8	1.0424
9	1.0394
9.2	1.0436
9.4	1.0416
9.6	1.0334
9.8	1.029
10	1.0302
10.2	1.0282
10.4	1.0348
10.6	1.0434
10.8	1.042
11	1.0416
11.2	1.0424
11.4	1.046
11.6	1.045
11.8	1.0462
12	1.0576
12.2	1.0594
12.4	1.057
12.6	1.0588
12.8	1.0636
13	1.0592
13.2	1.0532
13.4	1.0618
13.6	1.0634
13.8	1.0586
14	1.069
14.2	1.0678
14.4	1.0576
14.6	1.0626
14.8	1.0606
15	1.053
15.2	1.0612
15.4	1.0586
15.6	1.054
15.8	1.0638
16	1.0634
16.2	1.0582
16.4	1.0588
16.6	1.0644
16.8	1.0654
17	1.061
17.2	1.0552
17.4	1.0492
17.6	1.0434
17.8	1.0426
18	1.0408
18.2	1.0416
18.4	1.0558
18.6	1.0658
18.8	1.0584
19	1.0602
19.2	1.0686
19.4	1.0682
19.6	1.0588
19.8	1.0614
20	1.078
20.2	1.0646
20.4	1.0504
20.6	1.0552
20.8	1.0592
21	1.0382
21.2	1.0376
21.4	1.0604
21.6	1.069
21.8	1.0506
22	1.0508
22.2	1.0704
22.4	1.0394
22.6	1.0284
22.8	1.0474
23	1.0458
23.2	1.0348
23.4	1.0498
23.6	1.0558
23.8	1.052
24	1.0544
24.2	1.0516
24.4	1.0568
24.6	1.0488
24.8	1.0388
25	1.0382
25.2	1.0396
25.4	1.0366
25.6	1.0374
25.8	1.0502
26	1.0546
26.2	1.0486
26.4	1.033
26.6	1.041
26.8	1.0426
27	1.0436
27.2	1.0468
27.4	1.0536
27.6	1.043
27.8	1.0506
28	1.0446
28.2	1.0398
28.4	1.0662
28.6	1.0802
28.8	1.0552
29	1.0556
29.2	1.0752
29.4	1.0558
29.6	1.0514
29.8	1.077
30	1.0768
30.2	1.0632
30.4	1.069
30.6	1.0616
30.8	1.055
31	1.0674
31.2	1.0734
31.4	1.0738
31.6	1.069
31.8	1.0708
32	1.0816
32.2	1.0812
32.4	1.0732
32.6	1.0786
32.8	1.0868
33	1.0782
33.2	1.073
33.4	1.0708
33.6	1.0888
33.8	1.0918
34	1.073
34.2	1.0778
34.4	1.0852
34.6	1.062
34.8	1.0612
35	1.067
35.2	1.074
35.4	1.0768
35.6	1.0862
35.8	1.0704
36	1.069
36.2	1.0636
36.4	1.0838
36.6	1.0814
36.8	1.0572
37	1.0484
37.2	1.0726
37.4	1.0664
37.6	1.0664
37.8	1.0916
38	1.102
38.2	1.0888
38.4	1.078
38.6	1.0736
38.8	1.0672
39	1.0768
39.2	1.0868
39.4	1.0958
39.6	1.0952
39.8	1.1032
40	1.1098
40.2	1.0802
40.4	1.0618
40.6	1.0624
40.8	1.0646
41	1.0604
41.2	1.0668
41.4	1.0928
41.6	1.1078
41.8	1.0886
42	1.0826
42.2	1.1018
42.4	1.0848
42.6	1.0808
42.8	1.0814
43	1.0704
43.2	1.0652
43.4	1.065
43.6	1.0814
43.8	1.0922
44	1.0834
44.2	1.0674
44.4	1.08
44.6	1.0616
44.8	1.0628
45	1.1208
45.2	1.1298
45.4	1.099
45.6	1.0872
45.8	1.0844
46	1.0498
46.2	1.0452
46.4	1.0934
46.6	1.109
46.8	1.0972
47	1.1056
47.2	1.1268
47.4	1.0754
47.6	1.0584
47.8	1.0918
48	1.0902
48.2	1.0872
48.4	1.1142
48.6	1.1218
48.8	1.1036
49	1.1032
49.2	1.1048
49.4	1.1002
49.6	1.1212
49.8	1.1174
50	1.102
50.2	1.1004
50.4	1.1024
50.6	1.0964
50.8	1.1174
51	1.1222
51.2	1.1116
51.4	1.1112
51.6	1.1012
51.8	1.086
52	1.1276
52.2	1.1348
52.4	1.1224
52.6	1.1282
52.8	1.1496
53	1.1186
53.2	1.1032
53.4	1.1104
53.6	1.0986
53.8	1.0734
54	1.0808
54.2	1.1046
54.4	1.1032
54.6	1.0928
54.8	1.1202
55	1.1134
55.2	1.0738
55.4	1.0934
55.6	1.1172
55.8	1.1102
56	1.0894
56.2	1.0938
56.4	1.0856
56.6	1.0828
56.8	1.0714
57	1.1168
57.2	1.14
57.4	1.1292
57.6	1.1266
57.8	1.1284
58	1.1178
58.2	1.1122
58.4	1.0966
58.6	1.084
58.8	1.083
59	1.0856
59.2	1.0924
59.4	1.0968
59.6	1.137
59.8	1.138
60	1.1144
60.2	1.1174
60.4	1.1282
60.6	1.1138
60.8	1.1262
61	1.125
61.2	1.1036
61.4	1.1162
61.6	1.0964
61.8	1.0934
62	1.114
62.2	1.0982
62.4	1.1058
62.6	1.1388
62.8	1.1094
63	1.1224
63.2	1.1704
63.4	1.1558
63.6	1.1196
63.8	1.1332
64	1.1296
64.2	1.1086
64.4	1.1174
64.6	1.1688
64.8	1.168
65	1.1242
65.2	1.1356
65.4	1.1244
65.6	1.0732
65.8	1.0776
66	1.1334
66.2	1.1264
66.4	1.1256
66.6	1.1426
66.8	1.1716
67	1.1536
67.2	1.1184
67.4	1.1156
67.6	1.127
67.8	1.1024
68	1.0916
68.2	1.131
68.4	1.1288
68.6	1.1018
68.8	1.1026
69	1.1178
69.2	1.0916
69.4	1.084
69.6	1.1324
