t	x
0	1
0.2	1.00012
0.4	1.00027
0.6	1.00044
0.8	1.00064
1	1.00086
1.2	1.00112
1.4	1.00142
1.6	1.00177
1.8	1.00217
2	1.00262
2.2	1.00314
2.4	1.00374
2.6	1.00442
2.8	1.0052
3	1.00609
3.2	1.0071
3.4	1.00825
3.6	1.00956
3.8	1.01102
4	1.01267
4.2	1.01451
4.4	1.01656
4.6	1.01882
4.8	1.0213
5	1.02402
5.2	1.02696
5.4	1.03013
5.6	1.03352
5.8	1.03713
6	1.04095
6.2	1.04496
6.4	1.04915
6.6	1.05349
6.8	1.05798
7	1.06259
7.2	1.06729
7.4	1.07208
7.6	1.07691
7.8	1.08178
8	1.08666
8.2	1.09153
8.4	1.09637
8.6	1.10117
8.8	1.10589
9	1.11053
9.2	1.11507
9.4	1.1195
9.6	1.12379
9.8	1.12794
10	1.13193
10.2	1.13576
10.4	1.1394
10.6	1.14285
10.8	1.14611
11	1.14916
11.2	1.15199
11.4	1.15461
11.6	1.15699
11.8	1.15915
12	1.16107
12.2	1.16275
12.4	1.1642
12.6	1.1654
12.8	1.16636
13	1.16707
13.2	1.16755
13.4	1.16779
13.6	1.1678
13.8	1.16757
14	1.16712
14.2	1.16645
14.4	1.16557
14.6	1.16448
14.8	1.16319
15	1.16171
15.2	1.16005
15.4	1.15821
15.6	1.15622
15.8	1.15407
16	1.15177
16.2	1.14935
16.4	1.14681
16.6	1.14415
16.8	1.1414
17	1.13855
17.2	1.13564
17.4	1.13265
17.6	1.12961
17.8	1.12652
18	1.1234
18.2	1.12026
18.4	1.1171
18.6	1.11394
18.8	1.11078
19	1.10763
19.2	1.10451
19.4	1.10142
19.6	1.09836
19.8	1.09535
20	1.0924
20.2	1.0895
20.4	1.08666
20.6	1.0839
20.8	1.08121
21	1.0786
21.2	1.07608
21.4	1.07365
21.6	1.07131
21.8	1.06907
22	1.06693
22.2	1.06489
22.4	1.06295
22.6	1.06112
22.8	1.0594
23	1.05778
23.2	1.05628
23.4	1.05489
23.6	1.05361
23.8	1.05244
24	1.05138
24.2	1.05043
24.4	1.04959
24.6	1.04886
24.8	1.04824
25	1.04773
25.2	1.04732
25.4	1.04702
25.6	1.04682
25.8	1.04672
26	1.04672
26.2	1.04681
26.4	1.04699
26.6	1.04727
26.8	1.04763
27	1.04808
27.2	1.04861
27.4	1.04922
27.6	1.0499
27.8	1.05066
28	1.05148
28.2	1.05238
28.4	1.05333
28.6	1.05434
28.8	1.0554
29	1.05652
29.2	1.05768
29.4	1.05889
29.6	1.06013
29.8	1.06142
30	1.06273
30.2	1.06407
30.4	1.06544
30.6	1.06683
30.8	1.06823
31	1.06965
31.2	1.07107
31.4	1.07251
31.6	1.07394
31.8	1.07538
32	1.07681
32.2	1.07823
32.4	1.07964
32.6	1.08104
32.8	1.08242
33	1.08378
33.2	1.08512
33.4	1.08643
33.6	1.08772
33.8	1.08898
34	1.0902
34.2	1.09139
34.4	1.09254
34.6	1.09366
34.8	1.09474
35	1.09578
35.2	1.09677
35.4	1.09772
35.6	1.09863
35.8	1.0995
36	1.10032
36.2	1.10109
36.4	1.10182
36.6	1.1025
36.8	1.10314
37	1.10374
37.2	1.10428
37.4	1.10479
37.6	1.10525
37.8	1.10566
38	1.10604
38.2	1.10637
38.4	1.10666
38.6	1.10692
38.8	1.10714
39	1.10732
39.2	1.10747
39.4	1.10758
39.6	1.10766
39.8	1.10772
40	1.10774
40.2	1.10774
40.4	1.10772
40.6	1.10767
40.8	1.1076
41	1.10752
41.2	1.10741
41.4	1.1073
41.6	1.10717
41.8	1.10702
42	1.10687
42.2	1.10671
42.4	1.10655
42.6	1.10638
42.8	1.1062
43	1.10603
43.2	1.10586
43.4	1.10569
43.6	1.10552
43.8	1.10536
44	1.1052
44.2	1.10505
44.4	1.10491
44.6	1.10478
44.8	1.10466
45	1.10455
45.2	1.10445
45.4	1.10437
45.6	1.1043
45.8	1.10424
46	1.1042
46.2	1.10418
46.4	1.10417
