t	x
0	1
0.2	1.0052
0.4	1.01065
0.6	1.01498
0.8	1.01847
1	1.02059
1.2	1.02337
1.4	1.02597
1.6	1.03005
1.8	1.03254
2	1.03468
2.2	1.03779
2.4	1.04245
2.6	1.04886
2.8	1.05156
3	1.056
3.2	1.05959
3.4	1.06663
3.6	1.06966
3.8	1.07277
4	1.07586
4.2	1.08108
4.4	1.08506
4.6	1.08738
4.8	1.08915
5	1.09321
5.2	1.09541
5.4	1.0973
5.6	1.09491
5.8	1.09633
6	1.09825
6.2	1.10005
6.4	1.10204
6.6	1.10524
6.8	1.1072
7	1.10481
7.2	1.10181
7.4	1.10346
7.6	1.1036
7.8	1.10232
8	1.10034
8.2	1.09764
8.4	1.09729
8.6	1.09782
8.8	1.0986
9	1.09782
9.2	1.09687
9.4	1.09802
9.6	1.09772
9.8	1.09381
10	1.09277
10.2	1.09519
10.4	1.09466
10.6	1.09533
10.8	1.08993
11	1.08926
11.2	1.08675
11.4	1.09145
11.6	1.09316
11.8	1.09483
12	1.09195
12.2	1.09674
12.4	1.09525
12.6	1.09702
12.8	1.09293
13	1.09666
13.2	1.09753
13.4	1.10285
13.6	1.10509
13.8	1.10224
14	1.10126
14.2	1.10283
14.4	1.10673
14.6	1.1066
14.8	1.10758
15	1.10934
15.2	1.11491
15.4	1.11916
15.6	1.13008
15.8	1.13081
16	1.13239
16.2	1.13005
16.4	1.13446
16.6	1.14474
16.8	1.14752
17	1.15098
17.2	1.15297
17.4	1.15235
17.6	1.16055
17.8	1.16371
18	1.1737
18.2	1.17408
18.4	1.18197
18.6	1.17821
18.8	1.1847
19	1.18313
19.2	1.19268
19.4	1.19706
19.6	1.19702
19.8	1.20139
20	1.19751
20.2	1.19875
20.4	1.20547
20.6	1.21154
20.8	1.21217
21	1.20668
21.2	1.19855
21.4	1.19396
21.6	1.19501
21.8	1.19154
22	1.18791
22.2	1.17903
22.4	1.18014
22.6	1.18082
22.8	1.17934
23	1.17513
23.2	1.16774
23.4	1.1641
23.6	1.15984
23.8	1.14852
24	1.13705
24.2	1.12989
24.4	1.13544
24.6	1.12752
24.8	1.12557
25	1.11424
25.2	1.12316
25.4	1.11595
25.6	1.1192
25.8	1.1107
26	1.11339
26.2	1.11159
26.4	1.11799
26.6	1.12122
26.8	1.12178
27	1.11254
27.2	1.10757
27.4	1.1058
27.6	1.10818
27.8	1.12115
28	1.12726
28.2	1.13146
28.4	1.12164
28.6	1.11635
28.8	1.1229
29	1.12053
29.2	1.13156
29.4	1.13557
29.6	1.14476
29.8	1.14412
30	1.13721
30.2	1.13413
30.4	1.13193
30.6	1.13606
30.8	1.13905
31	1.15162
31.2	1.1499
31.4	1.15456
31.6	1.14867
31.8	1.15571
32	1.15808
32.2	1.15713
32.4	1.1503
32.6	1.14794
32.8	1.14955
33	1.16429
33.2	1.17324
33.4	1.17372
33.6	1.17588
33.8	1.17443
34	1.17312
34.2	1.16413
34.4	1.16658
34.6	1.17449
34.8	1.18672
35	1.18288
35.2	1.17651
35.4	1.16195
35.6	1.16831
35.8	1.16995
36	1.17369
36.2	1.17147
36.4	1.17269
36.6	1.17379
36.8	1.17023
37	1.17739
37.2	1.18355
37.4	1.18423
37.6	1.18267
37.8	1.17816
38	1.17551
38.2	1.17342
38.4	1.1781
38.6	1.18468
38.8	1.19183
39	1.18111
39.2	1.18104
39.4	1.16933
39.6	1.18229
39.8	1.18054
40	1.18212
40.2	1.17848
40.4	1.17444
40.6	1.17778
40.8	1.18548
41	1.18899
41.2	1.20115
41.4	1.20045
41.6	1.20025
41.8	1.19237
42	1.1852
42.2	1.19066
42.4	1.18759
42.6	1.20019
42.8	1.19762
43	1.20747
43.2	1.19254
43.4	1.19414
43.6	1.18396
43.8	1.18509
44	1.17754
44.2	1.17965
44.4	1.18809
44.6	1.19227
44.8	1.19258
45	1.19256
45.2	1.20263
45.4	1.20072
45.6	1.20344
45.8	1.19826
46	1.19705
46.2	1.19652
46.4	1.20488
46.6	1.21636
46.8	1.21623
47	1.20513
47.2	1.20338
47.4	1.207
47.6	1.19903
47.8	1.18951
48	1.18873
48.2	1.20603
48.4	1.21196
48.6	1.20841
48.8	1.20382
49	1.20628
49.2	1.20448
49.4	1.20335
49.6	1.20331
49.8	1.1945
50	1.18457
50.2	1.18656
50.4	1.18816
50.6	1.19022
50.8	1.18757
51	1.19729
51.2	1.20029
51.4	1.20137
51.6	1.19509
51.8	1.21245
52	1.20366
52.2	1.20556
52.4	1.19753
52.6	1.19698
52.8	1.19648
53	1.1924
53.2	1.2098
53.4	1.21155
53.6	1.20696
53.8	1.19533
54	1.19777
54.2	1.20305
54.4	1.20814
54.6	1.20316
54.8	1.21324
55	1.20519
55.2	1.21781
55.4	1.20304
55.6	1.21441
55.8	1.20372
56	1.20894
56.2	1.2102
56.4	1.21966
56.6	1.21187
56.8	1.20287
57	1.1853
57.2	1.18357
57.4	1.18417
57.6	1.19144
57.8	1.20273
58	1.19785
58.2	1.19488
58.4	1.19184
58.6	1.19669
58.8	1.21282
59	1.22183
59.2	1.22798
59.4	1.23073
59.6	1.21278
59.8	1.22129
60	1.22202
60.2	1.24003
60.4	1.2393
60.6	1.21948
60.8	1.22129
61	1.21098
61.2	1.22794
61.4	1.22292
61.6	1.22588
61.8	1.22423
62	1.22519
62.2	1.23477
62.4	1.23152
62.6	1.22906
62.8	1.22735
63	1.22808
63.2	1.2365
63.4	1.23024
63.6	1.22409
63.8	1.22289
64	1.22094
64.2	1.21748
64.4	1.20467
64.6	1.20575
64.8	1.20443
65	1.21739
65.2	1.21551
65.4	1.22809
65.6	1.21754
65.8	1.21546
66	1.21511
66.2	1.22124
66.4	1.21864
66.6	1.21276
66.8	1.2163
67	1.23211
67.2	1.22312
67.4	1.21966
67.6	1.2101
67.8	1.22476
68	1.21817
68.2	1.20905
68.4	1.19274
68.6	1.19436
68.8	1.20286
69	1.20246
69.2	1.20154
69.4	1.19827
69.6	1.19898
69.8	1.20843
70	1.20723
70.2	1.20506
70.4	1.20618
70.6	1.19827
70.8	1.21238
71	1.20683
71.2	1.21189
71.4	1.20331
71.6	1.20141
71.8	1.2224
72	1.22473
72.2	1.22896
72.4	1.2157
72.6	1.22964
72.8	1.22985
73	1.23769
73.2	1.22584
73.4	1.23073
73.6	1.21657
73.8	1.22005
74	1.2223
74.2	1.22643
74.4	1.233
74.6	1.21161
74.8	1.22028
75	1.20625
75.2	1.20747
75.4	1.18242
75.6	1.18884
75.8	1.21047
76	1.22165
76.2	1.2167
76.4	1.20442
76.6	1.20866
76.8	1.22905
77	1.22758
77.2	1.22537
77.4	1.20777
77.6	1.19478
77.8	1.20557
78	1.21661
78.2	1.22663
78.4	1.21779
78.6	1.21546
78.8	1.22741
79	1.24157
79.2	1.24469
79.4	1.25073
79.6	1.23633
79.8	1.22467
80	1.22068
