t	x
0	1
0.2	1.00002
0.4	1.00004
0.6	1.00006
0.8	1.00008
1	1.0001
1.2	1.00013
1.4	1.00015
1.6	1.00018
1.8	1.00021
2	1.00024
2.2	1.00027
2.4	1.0003
2.6	1.00033
2.8	1.00036
3	1.00039
3.2	1.00042
3.4	1.00045
3.6	1.00048
3.8	1.00051
4	1.00054
4.2	1.00057
4.4	1.00061
4.6	1.00065
4.8	1.0007
5	1.00076
5.2	1.00083
5.4	1.00093
5.6	1.00105
5.8	1.0012
6	1.00139
6.2	1.00162
6.4	1.0019
6.6	1.00224
6.8	1.00264
7	1.00311
7.2	1.00366
7.4	1.00428
7.6	1.00499
7.8	1.00579
8	1.00669
8.2	1.00768
8.4	1.00876
8.6	1.00994
8.8	1.01123
9	1.0126
9.2	1.01408
9.4	1.01565
9.6	1.01731
9.8	1.01905
10	1.02088
10.2	1.02279
10.4	1.02477
10.6	1.02681
10.8	1.02891
11	1.03106
11.2	1.03325
11.4	1.03547
11.6	1.03772
11.8	1.03998
12	1.04225
12.2	1.04452
12.4	1.04678
12.6	1.04901
12.8	1.05121
13	1.05337
13.2	1.05548
13.4	1.05753
13.6	1.05951
13.8	1.06141
14	1.06324
14.2	1.06497
14.4	1.0666
14.6	1.06813
14.8	1.06955
15	1.07085
15.2	1.07204
15.4	1.07311
15.6	1.07404
15.8	1.07486
16	1.07554
16.2	1.07609
16.4	1.07651
16.6	1.07681
16.8	1.07698
17	1.07702
17.2	1.07693
17.4	1.07673
17.6	1.07641
17.8	1.07598
18	1.07544
18.2	1.0748
18.4	1.07407
18.6	1.07324
18.8	1.07233
19	1.07134
19.2	1.07027
19.4	1.06915
19.6	1.06797
19.8	1.06673
20	1.06546
20.2	1.06415
20.4	1.06281
20.6	1.06145
20.8	1.06007
21	1.05869
21.2	1.05731
21.4	1.05593
21.6	1.05457
21.8	1.05323
22	1.05191
22.2	1.05063
22.4	1.04938
22.6	1.04817
22.8	1.04701
23	1.0459
23.2	1.04485
23.4	1.04386
23.6	1.04293
23.8	1.04206
24	1.04127
24.2	1.04055
24.4	1.0399
24.6	1.03933
24.8	1.03884
25	1.03842
25.2	1.03809
25.4	1.03783
